english,sundanese
a,a
able,bisa
about,kira-kira
above,di luhur
act,kalakuan
add,nambah
afraid,sieun
after,saatos
again,deui
against,ngalawan
age,umur
ago,tukang
agree,satuju
air,hawa
all,sadaya
allow,ngidinkeun
also,oge
always,salawasna
am,am
among,di antara
an,hiji
and,jeung
anger,anger
animal,hewan
answer,jawaban
any,mana wae
appear,katingali
apple,apel
are,nu
area,wewengkon
arm,panangan
arrange,ngatur
arrive,sumping
art,seni
as,siga
ask,nanya
at,di
atom,atom
baby,orok
back,balik deui
bad,awon
ball,bal
band,pita
bank,bank
bar,bar
base,dasar
basic,dasar
bat,lalay
be,aya
bear,biruang
beat,neunggeul
beauty,kageulisan
bed,ranjang
been,geus
before,saencan
began,mimiti
begin,mimiti
behind,tinggaleun
believe,percaya
bell,bel
best,pangalusna
better,leuwih alus
between,di antara
big,gede
bird,manuk
bit,saeutik
black,hideung
block,blok
blood,getih
blow,niup
blue,biru
board,papan
boat,kapal
body,awak
bone,tulang
book,buku
born,lahir
both,boh
bottom,dasar
bought,meuli
box,kotak
boy,budak lalaki
branch,cabang
bread,roti
break,peunggas
bright,caang
bring,ngabawa
broad,lega
broke,potong
brother,adi
brought,dibawa
brown,coklat
build,ngawangun
burn,pameuleuman
busy,sibuk
but,tapi
buy,meuli
by,ku
call,nelpon
came,datang
camp,tempat kemah
can,bisa
capital,ibu kota
captain,kapten
car,mobil
card,kartu
care,perawatan
carry,ngabawa
case,perkara
cat,ucing
catch,nyekel
caught,nyanggap
cause,sabab
cell,sel
cent,cent
center,pusat
century,abad
certain,katangtu
chair,korsi
chance,kasempetan
change,ngarobah
character,perbawa
charge,ngeusian
chart,grapik
check,cek
chick,chick
chief,kapala
child,anak
children,barudak
choose,milih
chord,chord
circle,bunderan
city,kota
claim,klaim
class,kelas
clean,beresih
clear,atra
climb,naek
clock,jam
close,deukeut
clothe,clothe
cloud,awan
coast,basisir
coat,mantel
cold,tiis
collect,ngumpulkeun
colony,jajahan
color,warna
column,tihang
come,datang
common,umum
company,pausahaan
compare,ngabandingkeun
complete,kumplit
condition,kaayaan
connect,nyambungan
consider,nimbangkeun
consonant,konsonan
contain,eusian
continent,banua
continue,neruskeun
control,pangawasan
cook,juru masak
cool,tiis
copy,salinan
corn,jagong
corner,juru
correct,bener
cost,cost
cotton,kapas
could,bisa
count,ngitung
country,nagara
course,kursus
cover,tutup
cow,sapi
crease,crease
create,nyiptakeun
crop,panen
cross,salib
crowd,riungan
cry,ceurik
current,kiwari
cut,motong
dad,bapa
dance,tari
danger,bahaya
dark,poek
day,poe
dead,paeh
deal,deal
dear,dear
death,tilar dunya
decide,mutuskeun
decimal,decimal
deep,jero
degree,darajat
depend,ngagantung
describe,ngagambarkeun
desert,gurun
design,rarancang
determine,nangtukeun
develop,ngawangun
dictionary,kamus
did,teu
die,paeh
differ,béda
difficult,hese
direct,langsung
discuss,bahas
distant,tebih
divide,ngabagi
division,pamerean
do,teu
doctor,dokter
does,teu
dog,anjing
dollar,dollar
done,puguh
don’t,entong
door,panto
double,ganda
down,turun
draw,ngagambar
dream,ngimpi
dress,pakéan
drink,inuman
drive,nyetir
drop,ngaragragkeun
dry,garing
duck,ngelok
during,salila
each,unggal
ear,ceuli
early,awal
earth,bumi
ease,betah
east,wetan
eat,dahar
edge,sisi
effect,epek
egg,endog
eight,dalapan
either,boh
electric,listrik
element,unsur
else,lamun henteu
end,tungtung
enemy,musuh
energy,tanaga
engine,mesin
enough,cekap
enter,asup
equal,sarua
equate,equate
especially,utamana
even,oge
evening,burit
event,kajadian
ever,kungsi
every,unggal
exact,pasti
example,conto
except,kajabi
excite,ngagumbirakeun
exercise,latihan
expect,ngaharepkeun
experience,pangalaman
experiment,percobaan
eye,soca
face,beungeut
fact,pakta
fair,adil
fall,labuh
family,kulawarga
famous,kondang
far,tebih
farm,tegalan
fast,gancang
fat,gajih
father,bapa
favor,migawe kahadean
fear,sieun
feed,kadaharan
feel,ngarasa
feet,suku
fell,murag
felt,dirasakeun
few,saeutik
field,widang
fig,buah ara
fight,gelut
figure,angka
fill,ngeusian
final,ahir
find,manggih
fine,dengda
finger,ramo
finish,finish
fire,seuneu
first,kahiji
fish,lauk
fit,ngepas
five,lima
flat,datar
floor,tehel
flow,ngocor
flower,kembang
fly,laleur
follow,ngiringan
food,kadaharan
foot,sampean
for,keur
force,kakuatan
forest,leuweung
form,wujud
forward,di payun
found,kapanggih
four,opat
fraction,fraksi
free,bebas
fresh,seger
friend,sobat
from,ti
front,hareup
fruit,buah
full,pinuh
fun,fun
game,kaulinan
garden,kebon
gas,gas
gather,ngumpulkeun
gave,méré
general,umum
gentle,hipu
get,meunangkeun
girl,mojang
give,mikeun
glad,bungah
glass,kaca
go,indit
gold,emas
gone,isro
good,alus
got,meunang
govern,marentah
grand,grand
grass,jukut
gray,kulawu
great,gede
green,hejo
grew,tumuwuh
ground,tanah
group,kumpulan
grow,jadi
guess,nebak
guide,pituduh
gun,bedil
had,geus
hair,bulu
half,satengah
hand,panangan
happen,kajadian
happy,bagja
hard,teuas
has,ngabogaan
hat,topi
have,ngabogaan
he,manehna
head,sirah
hear,ngadenge
heard,kadéngé
heart,jajantung
heat,panas
heavy,beurat
held,dilaksanakeun
help,tulung
her,milikna
here,ieuh
high,luhur
hill,pasir
him,manehna
his,na
history,sajarah
hit,neunggeul
hold,nyekel
hole,lobang
home,imah
hope,harepan
horse,kuda
hot,panas
hour,jam
house,imah
how,kumaha
huge,gede pisan
human,manusa
hundred,ratus
hunt,moro
hurry,rurusuhan
i,abdi
ice,es
idea,gagasan
if,upami
imagine,ngabayangkeun
in,dina
inch,inci
include,ngasupkeun
indicate,nunjukkeun
industry,industri
insect,sato gegeremet
instant,instan
instrument,pakakas
interest,bunga
invent,invent
iron,beusi
is,nyaeta
island,pulau
it,eta
job,tugas
join,ngiluan
joy,kabagjaan
jump,ngaluncat
just,adil
keep,neundeun
kept,terus
key,konci
kill,maehan
kind,macem
king,raja
knew,terang
know,nyaho
lady,nyonya
lake,dano
land,tanah
language,basa
large,gede
last,panungtung
late,pamungkas
laugh,seuri
law,hukum
lay,neundeun
lead,mingpin
learn,diajar
least,saeutikna
leave,ninggalkeun
led,led
left,kénca
leg,suku
length,panjang
less,langkung sakedik
let,ngantepkeun
letter,aksara
level,tingkat
lie,ngabohong
life,kahirupan
lift,ngangkat
light,cahaya
like,siga
line,garis
liquid,barang encer
list,daptar
listen,ngadenge
little,leutik
live,hirup
locate,nempatkeun
log,log
lone,lone
long,lila
look,melong
lost,leungit
lot,loba
loud,tarik
love,bogoh
low,handap
machine,mesin
made,dijieun
magnet,semprani
main,utama
major,mayor
make,nyieun
man,lalaki
many,loba
map,peta
mark,tanda
market,pasar
mass,misa
master,ngawasaan
match,pertandingan
material,material
matter,zat
may,meunang
me,abdi
mean,maksudna
meant,"hartina,"
measure,ngukur
meat,daging
meet,papanggih
melody,melodi
men,lalaki
metal,logam
method,metode
middle,patengahan
might,meureun
mile,mil
milk,susu
million,juta
mind,pikiran
mine,milik urang
minute,menit
miss,miss
mix,nyampur
modern,moderen
molecule,molekul
moment,waktu
money,duit
month,sasih
moon,bulan
more,tambih deui
morning,isuk
most,paling
mother,indung
motion,gerakan
mount,gunung
mountain,gunung
mouth,sungut
move,pindah
much,loba
multiply,ngalikeun
music,musik
must,kudu
my,mah
name,nami
nation,bangsa
natural,asli
nature,alam
near,deukeut
necessary,perlu
neck,beuheung
need,ngabutuhkeun
neighbor,tatangga
never,teu kungsi
new,anyar
next,teras
night,wengi
nine,salapan
no,teu
noise,sora
noon,beurang
nor,atawa
north,kaler
nose,irung
note,catetan
nothing,euweuh
notice,mere nyaho
noun,kecap barang
now,ayeuna
number,jumlah
numeral,angka
object,barang
observe,nitenan
occur,kajadian
ocean,sagara
of,ti
off,off
offer,tawaran
office,kantor
often,remen
oh,oh
oil,minyak
old,kolot
on,dina
once,sakali
one,hiji
only,ngan
open,kabuka
operate,ngajalankeun
opposite,papalimpang
or,atawa
order,pesenan
organ,organ
original,asli
other,nu lain
our,urang
out,geus kaluar
over,di luhur
own,sorangan
oxygen,oksigen
page,kaca
paint,cet
pair,pasangan
paper,keretas
paragraph,alinea
parent,indungna
part,bagean
particular,husus
party,pesta
pass,ngaliwatan
past,geus kaliwat
path,jalan
pattern,corak
pay,mayar
people,jelema
perhaps,meureun
period,waktu
person,jelema
phrase,babasan
pick,metik
picture,gambar
piece,potongan
pitch,pitch
place,tempat
plain,polos
plan,rencana
plane,tah kitu
planet,planet
plant,pabrik
play,ulin
please,punten
plural,jamak
poem,sajak
point,titik
poor,malarat
populate,populate
port,palabuhan
pose,pose
position,posisi
possible,mungkin
post,pos
pound,pon
power,kakuatan
practice,praktek
prepare,nyiapkeun
present,ayeuna
press,pers
pretty,geulis
print,nyitak
probable,probable
problem,masalah
process,proses
produce,ngahasilkeun
product,barang
proper,pantes
property,sipat
protect,ngalindungan
prove,ngabuktoskeun
provide,nyadiakeun
pull,betot
push,teken
put,neundeun
quart,quart
question,tatanya
quick,gancang
quiet,tenang
quite,rada
quotient,quotient
race,balapan
radio,radio
rail,rel
rain,hujan
raise,ngangkat
ran,lumpat
range,jajaran
rather,rada
reach,ngahontal
read,maca
ready,siap
real,asli
reason,alesan
receive,narima
record,catetan
red,beureum
region,daerah
remember,ngelingan
repeat,malikan deui
reply,walon
represent,jadi wawakil
require,ngabutuhkeun
rest,ngaso
result,hasil
rich,beunghar
ride,numpak
right,bener
ring,ngirining
rise,naek
river,walungan
road,jalan
rock,batu
roll,ngagulung
room,kamar
root,akar
rope,tali
rose,mawar
round,buleud
row,baris
rub,rub
rule,aturan
run,lalumpatan
safe,tengtrem
said,ceuk
sail,balayar
salt,uyah
same,sarua
sand,keusik
sat,diuk
save,nyalametkeun
saw,ragaji
say,ngomong
scale,skala
school,sakola
science,elmu pangaweruh
score,asup
sea,sagara
search,neangan
season,usum
seat,kalinggihan
second,kadua
section,bagian
see,tempo
seed,siki
seem,sigana
segment,bagean
select,milih
self,sorangan
sell,ngajual
send,ngirim
sense,rarasaan
sent,dikirim
sentence,hukuman
separate,misahkeun
serve,ngaladenan
set,kumpulan
settle,settle
seven,tujuh
several,sababaraha
shall,wajib
shape,wujud
share,ngabagikeun
sharp,seukeut
she,manehna
sheet,lambaran
shell,kerang
shine,caang
ship,kapal
shoe,sapatu
shop,toko
shore,darat
short,pendek
should,sakuduna
shoulder,taktak
shout,ngagorowok
show,nunjukkeun
side,sisi
sight,tetempoan
sign,tanda
silent,tiiseun
silver,perak
similar,meh sarua
simple,sederhana
since,ti mimiti
sing,nembang
single,hiji
sister,teteh
sit,linggih
six,genep
size,ukuran
skill,kaahlian
skin,kulit
sky,langit
slave,budak
sleep,sare
slip,dieunakeun
slow,alon
small,leutik
smell,ambeu
smile,seuri
snow,salju
so,janten
soft,hipu
soil,lemah
soldier,soldadu
solution,leyuran
solve,meupeuskeun
some,sababaraha
son,putera
song,lagu
soon,geuwat
sound,disada
south,kidul
space,angkasa
speak,ngomong
special,istimewa
speech,pidato
speed,kagancangan
spell,ngejah
spend,ngabalanjakeun
spoke,spoke
spot,kokotor
spread,nyebarkeun
spring,cinyusu
square,alun-alun
stand,ngadeg
star,bentang
start,awal
state,nagara
station,setasion
stay,tinggal
stead,stead
steam,nyeupan
steel,waja
step,lengkah
stick,iteuk
still,masih
stone,batu
stood,pinunjul
stop,eureun
store,toko
story,dongeng
straight,lempeng
strange,aneh
stream,walungan leutik
street,jalan
stretch,manteng
string,tali
strong,kuat
student,murid
study,diajar
subject,taluk
substance,zat
subtract,subtract
success,sukses
such,siga
sudden,ujug-ujug
suffix,ahiran
sugar,gula
suggest,nyarankeun
suit,nyaluyukeun
summer,usum panas
sun,panonpoe
supply,asupan
support,sokongan
sure,yakin
surface,permukaan
surprise,reuwas
swim,ngojay
syllable,suku kata
symbol,simbul
system,sistim
table,meja
tail,buntut
take,nyokot
talk,ngomong
tall,luhur
teach,ngawulang
team,regu
teeth,huntu
tell,nitah
temperature,suhu
ten,sapuluh
term,istilah
test,nguji
than,tibatan
thank,hatur
that,yen
the,nu
their,maranéhanana
them,maranehna
then,terus
there,tuh
these,ieu
they,maranehna
thick,kandel
thin,ipis
thing,barang
think,mikir
third,katilu
this,ieu
those,eta
though,sanajan
thought,pikiran
thousand,rebu
three,tilu
through,ngaliwatan
throw,maledog
thus,sahingga
tie,dasi
time,waktu
tiny,leutik pisan
tire,ban
to,ka
together,bareng
told,ka
tone,nada
too,oge
took,nyandak
tool,alat
top,puncak
total,total
touch,nyabak
toward,ka arah
town,kota
track,jalan satapak
trade,padagangan
train,ngadidik
travel,perjalanan
tree,tangkal
triangle,segitiga
trip,perjalanan
trouble,kasulitan
truck,truk
true,bener
try,nyobaan
tube,pipah
turn,pengkolan
twenty,dua puluh
two,dua
type,ngetik
under,di handap
unit,unit
until,tepi
up,ka luhur
us,urang
use,pamakean
usual,biasa
valley,gawir
value,nilai
vary,henteu sarua
verb,kecap pagawean
very,pisan
view,pintonan
village,desa
visit,nganjang
voice,sora
vowel,pokal
wait,ngantosan
walk,leumpang
wall,dingding
want,hayang
war,perang
warm,haneut
was,ieu
wash,nyeuseuh
watch,nongton
water,cai
wave,ombak
way,jalan
we,urang
wear,make
weather,hawa
week,minggu
weight,beurat
well,sumur
went,indit
were,éta
west,kulon
what,naon
wheel,gilinding
when,iraha
where,di mana
whether,lamun
which,nu mana
while,waktu
white,bodas
who,saha
whole,sakabeh
whose,saha
why,kunaon
wide,rubak
wife,pamajikan
wild,jarah
will,iyeu
win,meunang
wind,angin
window,jandela
wing,jangjang
winter,usum tiris
wire,kawat
wish,ngaharep
with,jeung
woman,awewe
women,awewe
wonder,kaajaiban
won’t,iyeu
wood,kayu
word,kecap
work,pagawean
world,dunya
would,ngalakukeunana
write,nulis
written,ditulis
wrong,salah
wrote,wrote
yard,pakarangan
year,taun
yellow,koneng
yes,nuhun
yet,tacan
you,maneh
young,ngora
your,anjeun
