english,malaysian
a,yang
able,dapat
about,mengenai
above,atas
act,tindakan
add,menambah
afraid,takut
after,selepas
again,lagi
against,terhadap
age,umur
ago,lalu
agree,bersetuju
air,udara
all,semua
allow,membolehkan
also,juga
always,sentiasa
am,saya
among,antara
an,seorang
and,dan
anger,kemarahan
animal,haiwan
answer,jawapan
any,apa-apa
appear,muncul
apple,epal
are,adalah
area,kawasan
arm,lengan
arrange,mengatur
arrive,tiba
art,seni
as,sebagai
ask,meminta
at,di
atom,debu
baby,bayi
back,kembali
bad,buruk
ball,bola
band,band
bank,bank yang
bar,bar
base,asas
basic,asas
bat,kelawar
be,menjadi
bear,menanggung
beat,menewaskan
beauty,kecantikan
bed,katil
been,telah
before,sebelum
began,bermula
begin,mula
behind,di belakang
believe,percaya
bell,loceng
best,terbaik
better,lebih baik
between,antara
big,besar
bird,burung
bit,sedikit
black,hitam
block,blok
blood,darah
blow,tamparan
blue,biru
board,lembaga
boat,bot
body,badan
bone,tulang
book,buku
born,dilahirkan
both,kedua-dua
bottom,bahagian bawah
bought,membeli
box,kotak
boy,budak
branch,cawangan
bread,roti
break,rehat
bright,terang
bring,membawa
broad,luas
broke,patah
brother,saudara
brought,dibawa
brown,coklat
build,membina
burn,membakar
busy,sibuk
but,tetapi
buy,membeli
by,oleh
call,panggilan
came,datang
camp,kem
can,boleh
capital,modal
captain,kapten
car,kereta
card,kad
care,penjagaan
carry,menjalankan
case,kes
cat,kucing
catch,tangkapan
caught,ditangkap
cause,punca
cell,sel
cent,peratus
center,pusat
century,abad
certain,tertentu
chair,kerusi
chance,peluang
change,perubahan
character,watak
charge,caj
chart,carta
check,semak
chick,anak ayam
chief,ketua
child,kanak-kanak
children,kanak-kanak
choose,memilih
chord,kord
circle,bulatan
city,bandar
claim,tuntutan
class,kelas
clean,bersih
clear,jelas
climb,pendakian
clock,jam
close,rapat
clothe,pakaian
cloud,awan
coast,pantai
coat,kot
cold,sejuk
collect,mengumpul
colony,tanah jajahan
color,warna
column,ruangan
come,datang
common,biasa
company,syarikat
compare,membandingkan
complete,lengkap
condition,keadaan
connect,menyambung
consider,mempertimbangkan
consonant,konsonan
contain,mengandungi
continent,benua
continue,terus
control,kawalan
cook,tukang masak
cool,sejuk
copy,salinan
corn,jagung
corner,sudut
correct,betul
cost,kos
cotton,kapas
could,boleh
count,mengira
country,negara
course,kursus
cover,perlindungan
cow,lembu
crease,berkedut
create,mewujudkan
crop,tanaman
cross,menyeberangi
crowd,orang ramai
cry,menangis
current,semasa
cut,dipotong
dad,ayah
dance,tarian
danger,bahaya
dark,gelap
day,hari
dead,mati
deal,perjanjian
dear,sayang
death,kematian
decide,membuat keputusan
decimal,perpuluhan
deep,dalam
degree,ijazah
depend,bergantung
describe,menggambarkan
desert,padang pasir
design,reka bentuk
determine,menentukan
develop,membangunkan
dictionary,kamus
did,lakukan
die,mati
differ,berbeza
difficult,sukar
direct,langsung
discuss,membincangkan
distant,jauh
divide,jurang
division,bahagian
do,melakukan
doctor,doktor
does,tidak
dog,anjing
dollar,dolar
done,dilakukan
don’t,tidak
door,pintu
double,dua
down,turun
draw,menarik
dream,bermimpi
dress,pakaian
drink,minuman
drive,pemacu
drop,drop
dry,kering
duck,itik
during,semasa
each,setiap
ear,telinga
early,awal
earth,bumi
ease,meringankan
east,timur
eat,makan
edge,kelebihan
effect,kesan
egg,telur
eight,lapan
either,sama ada
electric,elektrik
element,elemen
else,lain
end,akhir
enemy,musuh
energy,tenaga
engine,enjin
enough,cukup
enter,memasukkan
equal,sama
equate,menyamakan
especially,terutamanya
even,walaupun
evening,petang
event,acara
ever,pernah
every,setiap
exact,tepat
example,contoh
except,kecuali
excite,merangsang
exercise,senaman
expect,mengharapkan
experience,pengalaman
experiment,eksperimen
eye,mata
