english,telugu
a,ఒక
able,సామర్థ్యం
about,గురించి
above,పైన
act,చట్టం
add,జోడించండి
afraid,భయపడ్డారు
after,తర్వాత
again,మళ్ళీ
against,వ్యతిరేకంగా
age,వయస్సు
ago,క్రితం
agree,అంగీకరిస్తున్నారు
air,గాలి
all,అన్ని
allow,అనుమతిస్తాయి
also,కూడా
always,ఎల్లప్పుడూ
am,ఉన్నాను
among,మధ్య
an,ఒక
and,మరియు
anger,కోపం
animal,జంతు
answer,సమాధానం
any,ఏ
appear,టెలిఫోన్
apple,ఆపిల్
are,ఉన్నాయి
area,ప్రాంతం
arm,చేయి
arrange,ఏర్పాట్లు
arrive,చేరు
art,కళ
as,గా
ask,గోవా
at,వద్ద
atom,అణువు
baby,బేబీ
back,తిరిగి
bad,చెడు
ball,బంతి
band,బ్యాండ్
bank,బ్యాంకు
bar,బార్
base,బేస్
basic,ప్రాథమిక
bat,బ్యాట్
be,ఉంటుంది
bear,భరించలేదని
beat,ఓడించింది
beauty,అందం
bed,మంచం
been,ఉన్నాయి
before,ముందు
began,ప్రారంభమైంది
begin,ప్రారంభం
behind,వెనుక
believe,నమ్మకం
bell,బెల్
best,ఉత్తమ
better,మంచి
between,మధ్య
big,పెద్ద
bird,పక్షి
bit,బిట్
black,నలుపు
block,బ్లాక్
blood,రక్త
blow,దెబ్బ
blue,నీలం
board,బోర్డు
boat,పడవ
body,శరీర
bone,ఎముక
book,పుస్తకం
born,పుట్టినప్పటి
both,రెండు
bottom,దిగువ
bought,కొనుగోలు
box,బాక్స్
boy,బాయ్
branch,శాఖ
bread,బ్రెడ్
break,విరామం
bright,బ్రైట్
bring,తీసుకుని
broad,విస్తృత
broke,విరిగింది
brother,సోదరుడు
brought,తీసుకువచ్చారు
brown,గోధుమ
build,నిర్మించడానికి
burn,బర్న్
busy,బిజీగా
but,కానీ
buy,కొనుగోలు
by,ద్వారా
call,కాల్
came,వచ్చింది
camp,శిబిరం
can,చెయ్యవచ్చు
capital,రాజధాని
captain,కెప్టెన్
car,కారు
card,కార్డ్
care,సంరక్షణ
carry,తీసుకు
case,కేసు
cat,పిల్లి
catch,క్యాచ్
caught,క్యాచ్
cause,కారణం
cell,సెల్
cent,శాతం
center,సెంటర్
century,శతాబ్దం
certain,కొన్ని
chair,కుర్చీ
chance,క్రీడల్లో అవకాశాలు
change,మార్పు
character,పాత్ర
charge,వసూలు
chart,చార్ట్
check,తనిఖీ
chick,చిక్
chief,చీఫ్
child,పిల్లల
children,పిల్లలు
choose,ఎంచుకోండి
chord,తీగ
circle,సర్కిల్
city,నగరం
claim,దావా
class,తరగతి
clean,శుభ్రంగా
clear,స్పష్టమైన
climb,ఆరోహణను
clock,గడియారం
close,దగ్గరగా
clothe,దుస్తులు ధరింపజేయు
cloud,క్లౌడ్
coast,తీరం
coat,కోటు
cold,చల్లని
collect,సేకరించడానికి
colony,కాలనీ
color,రంగు
column,కాలమ్
come,వచ్చిన
common,సాధారణ
company,సంస్థ
compare,సరిపోల్చండి
complete,పూర్తి
condition,పరిస్థితి
connect,కనెక్ట్
consider,పరిగణలోకి
consonant,హల్లు
contain,కలిగి
continent,ఖండం
continue,కొనసాగుతుంది
control,నియంత్రణ
cook,కుక్
cool,చల్లని
copy,ప్రతిని
corn,మొక్కజొన్న
corner,మూలలో
correct,సరైన
cost,ధర
cotton,పత్తి
could,అనుకొనుట
count,కౌంట్
country,దేశం
course,కోర్సు
cover,కవర్
cow,ఆవు
crease,క్రీజ్
create,సృష్టించడానికి
crop,పంట
cross,క్రాస్
crowd,గుంపు
cry,క్రై
current,ప్రస్తుత
cut,కట్
dad,తండ్రి
dance,డ్యాన్స్
danger,ప్రమాదం
dark,కృష్ణ
day,రోజు
dead,చనిపోయిన
deal,ఒప్పందం
dear,ప్రియమైన
death,మరణం
decide,నిర్ణయించుకుంటారు
decimal,దశాంశ
deep,లోతైన
degree,డిగ్రీ
depend,ఆధారపడి
describe,వర్ణించేందుకు
desert,ఎడారి
design,డిజైన్
determine,గుర్తించడానికి
develop,అభివృద్ధి
dictionary,నిఘంటువు
did,చేసింది
die,చనిపోయే
differ,తేడా
difficult,కష్టం
direct,ప్రత్యక్ష
discuss,చర్చించడానికి
distant,సుదూర
divide,విభజన
division,విభజన
do,చేయండి
doctor,డాక్టర్
does,చేస్తుంది
dog,కుక్క
dollar,డాలర్
done,పూర్తయింది
don’t,చేయలేను
door,తలుపు
double,డబుల్
down,డౌన్
draw,డ్రా
dream,కావాలని
dress,దుస్తుల
drink,పానీయం
drive,డ్రైవ్
drop,డ్రాప్
dry,పొడి
duck,డక్
during,సమయంలో
each,ప్రతి
ear,చెవి
early,ప్రారంభ
earth,భూమి
ease,సులభం
east,తూర్పు
eat,తినడానికి
edge,అంచు
effect,ప్రభావం
egg,గుడ్డు
eight,ఎనిమిది
either,గాని
electric,విద్యుత్
element,మూలకం
else,వేరే
end,ముగింపు
enemy,శత్రువు
energy,శక్తి
engine,ఇంజిన్
enough,తగినంత
enter,నమోదు
equal,సమాన
equate,పోల్చుతారు
especially,ముఖ్యంగా
even,కూడా
evening,సాయంత్రం
event,ఈవెంట్
ever,ఎప్పుడూ
every,ప్రతి
exact,ఖచ్చితమైన
example,ఉదాహరణకు
except,తప్ప
excite,ఉత్సుకతను
exercise,వ్యాయామం
expect,ఆశించే
experience,అనుభవం
experiment,ప్రయోగం
eye,కంటి
face,ముఖం
fact,నిజానికి
fair,న్యాయమైన
fall,వస్తాయి
family,కుటుంబం
famous,ప్రసిద్ధ
far,ఇప్పటివరకు
farm,వ్యవసాయ
fast,ఫాస్ట్
fat,కొవ్వు
father,తండ్రి
favor,మొగ్గుచూపుతున్నారు
fear,భయము
feed,ఫీడ్
feel,అనుభూతి
feet,అడుగుల
fell,పడిపోయింది
felt,భావించాడు
few,కొన్ని
field,ఫీల్డ్
fig,అత్తి
fight,పోరాటం
figure,ఫిగర్
fill,పూరించడానికి
final,ఆఖరి
find,కనుగొనేందుకు
fine,జరిమానా
finger,వేలు
finish,ముగింపు
fire,అగ్ని
first,మొదటి
fish,చేప
fit,సరిపోయే
five,ఐదు
flat,ఫ్లాట్
floor,ఫ్లోర్
flow,ప్రవాహం
flower,పుష్పం
fly,ఫ్లై
follow,అనుసరించండి
food,ఆహార
foot,అడుగు
for,కోసం
force,శక్తి
forest,అటవీ
form,రూపం
forward,ముందుకు
found,దొరకలేదు
four,నాలుగు
fraction,భిన్నం
free,ఉచిత
fresh,తాజా
friend,స్నేహితుడు
from,నుండి
front,ముందు
fruit,పండు
full,పూర్తి
fun,సరదాగా
game,గేమ్
garden,తోట
gas,గ్యాస్
gather,సేకరించడానికి
gave,ఇచ్చింది
general,సాధారణ
gentle,సున్నితమైన
get,పొందండి
girl,అమ్మాయి
give,ఇవ్వాలని
glad,ఆనందంగా
glass,గాజు
go,వెళ్ళి
gold,బంగారు
gone,వెళ్లిపోవడంతో
good,మంచి
got,వచ్చింది
govern,పాలించే
grand,గ్రాండ్
grass,గడ్డి
gray,బూడిద
great,గొప్ప
green,ఆకుపచ్చ
grew,పెరిగింది
ground,భూమి
group,సమూహం
grow,పెరుగుతాయి
guess,అంచనా
guide,మార్గనిర్దేశం
gun,తుపాకీ
had,వచ్చింది
hair,జుట్టు
half,సగం
hand,చేతి
happen,జరిగే
happy,సంతోషంగా
hard,హార్డ్
has,ఉంది
hat,టోపీ
have,కలిగి
he,అతను
head,తల
hear,విను
heard,విన్న
heart,గుండె
heat,వేడి
heavy,భారీ
held,ఒక్కొక
help,సహాయం
her,ఆమె యొక్క
here,ఇక్కడ
high,అధిక
hill,కొండ
him,అతనికి
his,తన
history,చరిత్ర
hit,హిట్
hold,పట్టి
hole,రంధ్రం
home,హోమ్
hope,ఆశిస్తున్నాము
horse,గుర్రం
hot,వేడి
hour,గంట
house,ఇల్లు
how,ఎలా
huge,భారీ
human,మానవ
hundred,వంద
hunt,వేట
hurry,అత్యవసరము
i,నేను
ice,మంచు
idea,ఆలోచన
if,ఉంటే
imagine,ఊహించే
in,లో
inch,అంగుళం
include,ఉన్నాయి
indicate,సూచిస్తున్నాయి
industry,పరిశ్రమ
insect,క్రిమి
instant,తక్షణ
instrument,వాయిద్యం
interest,వడ్డీ
invent,కనుగొనడమే
iron,ఇనుము
is,ఉంది
island,ద్వీపం
it,ఇది
job,ఉద్యోగం
join,చేరడానికి
joy,ఆనందం
jump,జంప్
just,కేవలం
keep,ఉంచేందుకు
kept,ఉంచింది
key,కీ
kill,చంపడానికి
kind,రకం
king,రాజు
knew,తెలుసు
know,తెలుసు
lady,లేడీ
lake,సరస్సు
land,భూమి
language,భాష
large,పెద్ద
last,గత
late,చివరి
laugh,నవ్వు
law,చట్టం
lay,లే
lead,దారి
learn,తెలుసుకోవడానికి
least,కనీసం
leave,వదిలి
led,దారితీసింది
left,ఎడమ
leg,లెగ్
length,పొడవు
less,తక్కువ
let,వీలు
letter,లేఖ
level,స్థాయి
lie,అబద్ధం
life,జీవితం
lift,లిఫ్ట్
light,కాంతి
like,వంటి
line,లైన్
liquid,ద్రవ
list,జాబితా
listen,వినండి
little,చిన్న
live,నివసిస్తున్నారు
locate,గుర్తించడం
log,లాగిన్
lone,ఒంటరి
long,దీర్ఘ
look,చూడండి
lost,కోల్పోయింది
lot,చాలా
loud,బిగ్గరగా
love,ప్రేమ
low,తక్కువ
machine,యంత్రం
made,తయారు
magnet,అయస్కాంతం
main,ప్రధాన
major,ప్రధాన
make,తయారు
man,మనిషి
many,అనేక
map,మాప్
mark,మార్క్
market,మార్కెట్
mass,మాస్
master,మాస్టర్
match,మ్యాచ్
material,పదార్థం
matter,విషయం
may,మే
me,నాకు
mean,అర్థం
meant,అర్థం
measure,కొలవటానికి
meat,మాంసం
meet,మీట్
melody,శ్రావ్యత
men,పురుషులు
metal,మెటల్
method,పద్ధతి
middle,మధ్య
might,వాటిని
mile,మైలు
milk,పాలు
million,మిలియన్
mind,మనసు
mine,మైన్
minute,నిమిషం
miss,మిస్
mix,కలపాలి
modern,ఆధునిక
molecule,అణువు
moment,క్షణం
money,డబ్బు
month,నెల
moon,చంద్రుడు
more,మరింత
morning,ఉదయం
most,అత్యంత
mother,తల్లి
motion,చలన
mount,మౌంట్
mountain,పర్వతము
mouth,నోరు
move,తరలింపు
much,చాలా
multiply,గుణిస్తారు
music,సంగీతం
must,తప్పక
my,నా
name,పేరు
nation,దేశం
natural,సహజ
nature,ప్రకృతి
near,సమీపంలో
necessary,అవసరం
neck,మెడ
need,అవసరం
neighbor,పొరుగు
never,ఎప్పుడూ
new,కొత్త
next,తదుపరి
night,రాత్రి
nine,తొమ్మిది
no,ఏ
noise,శబ్దం
noon,మధ్యాహ్నం
nor,లేదా
north,ఉత్తర
nose,ముక్కు
note,గమనిక
nothing,ఏమీ
notice,నోటీసు
noun,నామవాచకం
now,ఇప్పుడు
number,సంఖ్య
numeral,సంఖ్యా
object,వస్తువు
observe,గమనించి
occur,సంభవించవచ్చు
ocean,సముద్ర
of,యొక్క
off,ఆఫ్
offer,ఆఫర్
office,కార్యాలయం
often,తరచుగా
oh,ఓహ్
oil,చమురు
old,పాత
on,న
once,ఒకసారి
one,ఒకటి
only,మాత్రమే
open,ఓపెన్
operate,పనిచేస్తాయి
opposite,వ్యతిరేక
or,లేదా
order,ఆర్డర్
organ,అవయవ
original,అసలు
other,ఇతర
our,మా
out,అవుట్
over,పైగా
own,సొంత
oxygen,ఆక్సిజన్
page,పేజీ
paint,పెయింట్
pair,జత
paper,కాగితం
paragraph,పేరా
parent,పేరెంట్
part,భాగం
particular,ప్రత్యేక
party,పార్టీ
pass,పాస్
past,గత
path,మార్గం
pattern,నమూనా
pay,చెల్లించటానికి
people,ప్రజలు
perhaps,బహుశా
period,కాలం
person,వ్యక్తి
phrase,పదబంధం
pick,ఎంచుకోండి
picture,చిత్రాన్ని
piece,ముక్క
pitch,పిచ్
place,స్థలం
plain,సాదా
plan,ప్రణాళిక
plane,విమానం
planet,గ్రహం
plant,మొక్క
play,ప్లే
please,దయచేసి
plural,బహువచనం
poem,పద్యం
point,పాయింట్
poor,పేద
populate,జనసాంద్రత
port,పోర్ట్
pose,భంగిమలో
position,స్థానం
possible,సాధ్యం
post,పోస్ట్
pound,పౌండ్
power,శక్తి
practice,ఆచరణలో
prepare,సిద్ధం
present,ప్రస్తుతం
press,పత్రికా
pretty,అందంగా
print,ముద్రణ
probable,మూడింటిని
problem,సమస్య
process,ప్రక్రియ
produce,ఉత్పత్తి
product,ఉత్పత్తి
proper,సరైన
property,ఆస్తి
protect,రక్షించేందుకు
prove,రుజువు
provide,అందించేందుకు
pull,పుల్
push,పుష్
put,చాలు
quart,కొలత గల పాత్ర
question,ప్రశ్న
quick,శీఘ్ర
quiet,నిశ్శబ్ద
quite,చాలా
quotient,కోశంట్
race,రేసు
radio,రేడియో
rail,రైలు
rain,వర్షం
raise,పెంచడానికి
ran,నడిచింది
range,పరిధి
rather,కాకుండా
reach,చేరుకోవడానికి
read,చదవడానికి
ready,సిద్ధంగా
real,నిజ
reason,కారణం
receive,అందుకుంటారు
