english,bulgarian
a,а
able,състояние
about,за
above,горе
act,акт
add,добави
afraid,страхувам се
after,след
again,отново
against,срещу
age,възраст
ago,преди
agree,съгласен
air,въздух
all,всички
allow,позволи
also,също
always,винаги
am,съм
among,сред
an,един
and,и
anger,гнева
animal,животните
answer,отговор
any,всеки
appear,се появи
apple,ябълка
are,са
area,област
arm,ръка
arrange,организира
arrive,пристигнете
art,изкуство
as,като
ask,попитайте
at,в
atom,атом
baby,бебе
back,обратно
bad,лошо
ball,топка
band,лента
bank,банка
bar,бар
base,база
basic,основен
bat,прилеп
be,бъде
bear,понесе
beat,победи
beauty,красота
bed,легло
been,бил
before,преди
began,започна
begin,започне
behind,зад
believe,вярвам
bell,звънец
best,най-добрият
better,по-добре
between,между
big,голям
bird,птица
bit,малко
black,черен
block,блок
blood,кръв
blow,удар
blue,син
board,борда
boat,лодка
body,тяло
bone,костна
book,книга
born,роден
both,и двете
bottom,дъно
bought,купих
box,кутия
boy,момче
branch,клон
bread,хляб
break,почивка
bright,ярък
bring,донесе
broad,широк
broke,проби
brother,брат
brought,предявен
brown,кафяв
build,изграждане
burn,горят
busy,зает
but,но
buy,купува
by,от
call,повикване
came,дойде
camp,лагер
can,може
capital,капитал
captain,капитан
car,кола
card,карта
care,грижи
carry,извършване
case,случай
cat,котка
catch,улова
caught,уловени
cause,кауза
cell,клетка
cent,сто
center,център
century,век
certain,определен
chair,стол
chance,шанс
change,промяна
character,характер
charge,зареждане
chart,диаграма
check,проверите
chick,мацка
chief,главен
child,дете
children,деца
choose,избирам
chord,акорд
circle,кръг
city,град
claim,твърдение
class,клас
clean,чиста
clear,ясно
climb,изкачване
clock,часовник
close,в близост
clothe,облече
cloud,облак
coast,крайбрежие
coat,палто
cold,студено
collect,събира
colony,колония
color,цвят
column,колона
come,дойде
common,обща
company,компанията
compare,сравни
complete,пълен
condition,състояние
connect,свържете
consider,помисли
consonant,съгласна
contain,съдържа
continent,континент
continue,продължи
control,контрол
cook,готвач
cool,готино
copy,копие
corn,царевица
corner,ъгъл
correct,правилно
cost,цена
cotton,памук
could,може
count,брои
country,страна
course,курс
cover,капак
cow,крава
crease,гънки
create,създадете
crop,култура
cross,пресекат
crowd,тълпа
cry,вик
current,ток
cut,нарязани
dad,баща
dance,танц
